Date_shipped,Tracking_number,Inventory,Order_item,MSKU,SKU,Item_name,Quantity,Shipped_From,Shipped_To,Date_received,Received,Partially_received,Damaged,C,C
2025-05-05,123123134,expired,300,PATAN-NOVA-3404-01,PATAN-NOVA-3404-01,Patanjali Divya Abhrak Bhasma 5g,15,0,19,2025-05-05,15,0,0,40,
2025-05-05,123123134,adjustment,301,PATAN-NOVA-858-01,PATAN-NOVA-858-01,Patanjali Amla Candy 250g,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,302,PATAN-NOVA-1613-01,PATAN-NOVA-1613-01,Patanjali Divya Amla Churna 100g,-3,0,19,2025-05-05,-3,0,0,1,
2025-05-05,123123134,adjustment,303,1017152,1017152,Amla Cool Oil,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,304,1024452,1024452,Patanjali Divya Arogyavardhini Vati 160 Tabs,4,0,19,2025-05-05,4,0,0,5,
2025-05-05,123123134,adjustment,305,1024500,1024500,Patanjali Divya Arshkalp Vati Tablets - 80,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,306,HCAVPT0134,HCAVPT0134,Patanjali Ashmarihar Ras 50g,1,0,19,2025-05-05,1,0,0,20,
2025-05-05,123123134,adjustment,307,PATAN-NOVA-2180-01,PATAN-NOVA-2180-01,Patanjali Ashokaristh/ Ashokarishta 450ml,1,0,19,2025-05-05,1,0,0,2,
2025-05-05,123123134,adjustment,308,Pac517,Pac517,Patanjali Ayurveda Ashwagandha Capsule,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,expired,309,PATAN-NOVA-1572-01,PATAN-NOVA-1572-01,Patanjali Bala Churna 100g,-3,0,19,2025-05-05,-3,0,0,0,
2025-05-05,123123134,expired,310,PATAN-NOVA-1578-01,PATAN-NOVA-1578-01,Patanjali Bilwadi Churna 100g,-6,0,19,2025-05-05,-6,0,0,0,
2025-05-05,123123134,expired,311,PATAN-NOVA-7952-01,PATAN-NOVA-7952-01,Patanjali Divya Brahmi Churna 100g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,312,PATAN-NOVA-428-01,PATAN-NOVA-428-01,Patanjali Chyawanprash 1kg,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,313,PATAN094,PATAN094,Patanjali Dant Kanti Dental Cream 100g,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,adjustment,314,PATAN-NOVA-1319-01,PATAN-NOVA-1319-01,Patanjali Advanced Dant Kanti Manjan 100g,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,expired,315,PATAN-NOVA-2422-01,PATAN-NOVA-2422-01,Patanjali Dashmool Kwath 100g,-34,0,19,2025-05-05,-34,0,0,0,
2025-05-05,123123134,adjustment,316,PATAN-NOVA-2181-01,PATAN-NOVA-2181-01,Patanjali Dashmularishta 450ml,1,0,19,2025-05-05,1,0,0,3,
2025-05-05,123123134,expired,317,PATAN-NOVA-29247-01,PATAN-NOVA-29247-01,Patanjali Divya Dant Manjan 100g,-9,0,19,2025-05-05,-9,0,0,0,
2025-05-05,123123134,adjustment,318,PATAN-NOVA-1667-01,PATAN-NOVA-1667-01,Patanjali Divya Peya 100g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,319,HCAVPT0026,HCAVPT0026,Gashar Churna 100 gm,-12,0,19,2025-05-05,-12,0,0,0,
2025-05-05,123123134,expired,320,HCAVPT0093,HCAVPT0093,Giloy Sat 5gm,-12,0,19,2025-05-05,-12,0,0,0,
2025-05-05,123123134,adjustment,321,PATAN-NOVA-1664-01,PATAN-NOVA-1664-01,Patanjali Divya Gokshuradi Guggul 40 Tab,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,adjustment,322,1024656,1024656,Patanjali Divya Gokshuradi Guggul 80tabs,3,0,19,2025-05-05,3,0,0,3,
2025-05-05,123123134,adjustment,323,PATAN-NOVA-1606-01,PATAN-NOVA-1606-01,Patanjali Divya Haridrakhand 100g,1,0,19,2025-05-05,1,0,0,5,
2025-05-05,123123134,adjustment,324,PATAN-NOVA-15749-01,PATAN-NOVA-15749-01,Patanjali Divya Immunogrit 60 Tablets,2,0,19,2025-05-05,2,0,0,5,
2025-05-05,123123134,adjustment,325,PATAN-NOVA-2103-01,PATAN-NOVA-2103-01,Patanjali Divya Kaishore Guggul 80 Tablets,-1,0,19,2025-05-05,-1,0,0,2,
2025-05-05,123123134,adjustment,326,HCAVPT0146.80,HCAVPT0146.80,Divya Kanchnar Guggul 40 Tab,-13,0,19,2025-05-05,-13,0,0,4,
2025-05-05,123123134,adjustment,327,PATAN-NOVA-2278-01,PATAN-NOVA-2278-01,Patanjali Kanchnar Guggul 80 Tabs,10,0,19,2025-05-05,10,0,0,13,
2025-05-05,123123134,adjustment,328,PATAN-NOVA-2279-01,PATAN-NOVA-2279-01,Patanjali Kayakalp Kwath 100g,-20,0,19,2025-05-05,-20,0,0,0,
2025-05-05,123123134,adjustment,329,1024616,1024616,Patanjali Kayakalp Vati- 160 Tabs,-7,0,19,2025-05-05,-7,0,0,3,
2025-05-05,123123134,adjustment,330,PATAN021,PATAN021,Patanjali Divya Keharwa Pishti 5g (pack of 5),1,0,19,2025-05-05,1,0,0,9,
2025-05-05,123123134,adjustment,331,39860781,39860781,Patanjali Kumaryasava 450ml,4,0,19,2025-05-05,4,0,0,8,
2025-05-05,123123134,adjustment,332,HCAVPT0147,HCAVPT0147,Patanjali Lakshadi Guggul 40 Tablets,-11,0,19,2025-05-05,-11,0,0,6,
2025-05-05,123123134,adjustment,333,1024660,1024660,Patanjali Laxmi Vilas Ras 160Tabs,12,0,19,2025-05-05,12,0,0,16,
2025-05-05,123123134,adjustment,334,PATAN012,PATAN012,Patanjali Laxmivilas Ras 40 Tabs (pack of 5),-11,0,19,2025-05-05,-11,0,0,0,
2025-05-05,123123134,adjustment,335,PATAN-NOVA-2183-01,PATAN-NOVA-2183-01,Patanjali Mahamanjisthadi Kwath | Pravahi 450 ml,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,336,PATAN-NOVA-29267-01,PATAN-NOVA-29267-01,Patanjali Divya Mahamash Taila 100ml,1,0,19,2025-05-05,1,0,0,6,
2025-05-05,123123134,adjustment,337,PATAN-NOVA-1618-01,PATAN-NOVA-1618-01,Patanjali Divya Medohar Vati 100 Tabs,-14,0,19,2025-05-05,-14,0,0,0,
2025-05-05,123123134,adjustment,338,PATAN-NOVA-2358-01,PATAN-NOVA-2358-01,Patanjali Mukta Pishti 2g,12,0,19,2025-05-05,12,0,0,31,
2025-05-05,123123134,adjustment,339,PATAN-NOVA-2355-01,PATAN-NOVA-2355-01,Patanjali Mukta Shukti Bhasma 10g,7,0,19,2025-05-05,7,0,0,24,
2025-05-05,123123134,adjustment,340,PATAN042,PATAN042,Patanjali Divya Mukta Shukti Bhasma 5g (pack of 5),-35,0,19,2025-05-05,-35,0,0,2,
2025-05-05,123123134,expired,341,PATAN-NOVA-1581-01,PATAN-NOVA-1581-01,Patanjali Mulethi Churna 100g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,expired,342,PATAN-NOVA-2259-01,PATAN-NOVA-2259-01,Patanjali Mulethi Kwath 100g,-3,0,19,2025-05-05,-3,0,0,2,
2025-05-05,123123134,adjustment,343,PMCP176,PMCP176,Patanjali Nari Sudha Syrup 200 ml,-3,0,19,2025-05-05,-3,0,0,2,
2025-05-05,123123134,expired,344,PATAN-NOVA-471-01,PATAN-NOVA-471-01,Patanjali Neem Ghan Vati 60 Tabs,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,expired,345,PATAN-NOVA-2204-01,PATAN-NOVA-2204-01,Patanjali Parijaat Kwath 100g,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,expired,346,HCAVPT0059,HCAVPT0059,Patanjali Peedantak Kwath,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,347,PATAN-NOVA-5362-01,PATAN-NOVA-5362-01,Patanjali Prasarini Taila 100ml,1,0,19,2025-05-05,1,0,0,5,
2025-05-05,123123134,expired,348,HCAVPT0022,HCAVPT0022,Patanjali Pushyanug Churna,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,expired,349,PATAN-NOVA-1674-01,PATAN-NOVA-1674-01,Patanjali Divya Putrajeevak Beej 250g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,adjustment,350,PATAN-NOVA-3103-01,PATAN-NOVA-3103-01,Patanjali Badam Roghan Shirin 150ml,1,0,19,2025-05-05,1,0,0,2,
2025-05-05,123123134,adjustment,351,1024187,1024187,Patanjali Badam Roghan Shirin - 60ml,-5,0,19,2025-05-05,-5,0,0,15,
2025-05-05,123123134,adjustment,352,PATAN-NOVA-2458-01,PATAN-NOVA-2458-01,Patanjali Saptamrit Lauh 10g,-2,0,19,2025-05-05,-2,0,0,14,
2025-05-05,123123134,adjustment,353,21788,21788,Patanjali Ayurveda Sheetal Oil 100 ml Pack Of 4,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,354,HOH015,HOH015,Patanjali Divya Shilajeet Rasayan Vati 120 Tablets,-1,0,19,2025-05-05,-1,0,0,11,
2025-05-05,123123134,adjustment,355,1004,1004,Patanjali Shilajeet Capsule 11 g,1,0,19,2025-05-05,1,0,0,2,
2025-05-05,123123134,adjustment,356,PATAN-NOVA-1978-01,PATAN-NOVA-1978-01,Patanjali Divya Shivlingi Beej 100g,-1,0,19,2025-05-05,-1,0,0,3,
2025-05-05,123123134,expired,357,PATAN-NOVA-1585-01,PATAN-NOVA-1585-01,Divya Shuddh Konch Beej Churna 100g,-11,0,19,2025-05-05,-11,0,0,0,
2025-05-05,123123134,adjustment,358,PATAN-NOVA-1663-01,PATAN-NOVA-1663-01,Patanjali Divya Singhnad Guggul 40 Tab,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,adjustment,359,PATAN-NOVA-2460-01,PATAN-NOVA-2460-01,Patanjali Sphatika Bhasma 5g,4,0,19,2025-05-05,4,0,0,23,
2025-05-05,123123134,adjustment,360,HCAVPT0080,HCAVPT0080,Patanjali Stri Rasayan Vati 40 Tabs,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,361,PATAN-NOVA-2684-01,PATAN-NOVA-2684-01,Patanjali Divya Swasari Kwath 100g,5,0,19,2025-05-05,5,0,0,10,
2025-05-05,123123134,adjustment,362,PATAN-NOVA-3452-01,PATAN-NOVA-3452-01,Patanjali Divya Swasari Ras 10g,-4,0,19,2025-05-05,-4,0,0,8,
2025-05-05,123123134,adjustment,363,PATAN-NOVA-8920-01,PATAN-NOVA-8920-01,Patanjali Divya Swasari Vati 80Tabs,3,0,19,2025-05-05,3,0,0,5,
2025-05-05,123123134,adjustment,364,PATAN-NOVA-2338-01,PATAN-NOVA-2338-01,Patanjali Triyodashang Guggul 80Tabs,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,adjustment,365,HCAVPT0084,HCAVPT0084,Patanjali Tulsi Ghan Vati 40g,-5,0,19,2025-05-05,-5,0,0,0,
2025-05-05,123123134,expired,366,PATAN-NOVA-423-01,PATAN-NOVA-423-01,Patanjali Tulsi Panchang Juice 500ml,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,367,PATAN-NOVA-2537-01,PATAN-NOVA-2537-01,Patanjali Vriddhivadhika Vati,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,368,HCAVPT0174,HCAVPT0174,Patanjali Vridhivadhika Vati 20g Pack of 3,-2,0,19,2025-05-05,-2,0,0,4,
2025-05-05,123123134,adjustment,369,PATAN-NOVA-2205-01,PATAN-NOVA-2205-01,Patanjali Vrikkdoshhar Kwath (100 GM),-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,370,PATAN-NOVA-429-01,PATAN-NOVA-429-01,Patanjali Wheat Grass Powder 100g,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,371,PATAN-NOVA-2387-01,PATAN-NOVA-2387-01,Patanjali Yogendra Ras 1g,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,372,PATAN-NOVA-1665-01,PATAN-NOVA-1665-01,Patanjali Divya Yograj Guggul 40 Tab,-8,0,19,2025-05-05,-8,0,0,0,
2025-05-05,123123134,adjustment,373,PATAN-NOVA-2120-01,PATAN-NOVA-2120-01,Patanjali Divya Arjun Kwath 100g Pack of 1,7,0,19,2025-05-05,7,0,0,11,
2025-05-05,123123134,adjustment,374,PATAN-NOVA-2266-01,PATAN-NOVA-2266-01,Patanjali Ras Manikya 1g,22,0,19,2025-05-05,22,0,0,35,
2025-05-05,123123134,adjustment,375,PATAN-NOVA-2182-01,PATAN-NOVA-2182-01,Patanjali Kutajarishta 450ml,1,0,19,2025-05-05,1,0,0,1,
2025-05-05,123123134,adjustment,376,HCAVPT0106,HCAVPT0106,Patanjali Praval Pishti 10g,-1,0,19,2025-05-05,-1,0,0,6,
2025-05-05,123123134,adjustment,377,PATAN-NOVA-2066-01,PATAN-NOVA-2066-01,Patanjali Divya Hridyamrit Vati Extra Power 40 Tab,-3,0,19,2025-05-05,-3,0,0,0,
2025-05-05,123123134,adjustment,378,PATAN-NOVA-1630-01,PATAN-NOVA-1630-01,Patanjali Divya Liv Amrit Tablet 60 Tabs,-3,0,19,2025-05-05,-3,0,0,0,
2025-05-05,123123134,adjustment,379,PATAN-NOVA-2993-01,PATAN-NOVA-2993-01,Patanjali Jamun Vinegar 500ml,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,380,PATAN-NOVA-2095-01,PATAN-NOVA-2095-01,Patanjali Kayakalp Taila 100ml,2,0,19,2025-05-05,2,0,0,8,
2025-05-05,123123134,expired,381,PATAN-NOVA-467-01,PATAN-NOVA-467-01,Patanjali Arogya Vati 80 Tab,-12,0,19,2025-05-05,-12,0,0,0,
2025-05-05,123123134,adjustment,382,PATAN-NOVA-21384-01,PATAN-NOVA-21384-01,Patanjali Kesh Kanti Herbal Mehandi Pack of 5 Natural Brown,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,383,PATAN050,PATAN050,Patanjali Divya Orthogrit 60 Tablet,1,0,19,2025-05-05,1,0,0,1,
2025-05-05,123123134,adjustment,384,PATAN-NOVA-5376-01,PATAN-NOVA-5376-01,Patanjali Divya Chandraprabha Vati 80Tabs,16,0,19,2025-05-05,16,0,0,20,
2025-05-05,123123134,adjustment,385,1024655,1024655,Patanjali Divya Singhnad Guggul 80 Tab,-2,0,19,2025-05-05,-2,0,0,3,
2025-05-05,123123134,adjustment,386,PATAN-NOVA-1524-01,PATAN-NOVA-1524-01,Patanjali Drishti Eye Drop 10ml,-4,0,19,2025-05-05,-4,0,0,0,
2025-05-05,123123134,expired,387,PATAN-NOVA-1666-01,PATAN-NOVA-1666-01,Patanjali Moosli Pak 200g,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,388,HCAVPT0085,HCAVPT0085,Patanjali Punarnavadi Mandur 120 tab,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,389,PATAN-NOVA-1979-01,PATAN-NOVA-1979-01,Patanjali Divya Amla Rasayan 100g,-1,0,19,2025-05-05,-1,0,0,2,
2025-05-05,123123134,adjustment,390,PATAN-NOVA-475-01,PATAN-NOVA-475-01,Patanjali Ginger Candy 100 g,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,391,1003,1003,Patanjali Divya Shuddh Shilajeet Sat 20g,1,0,19,2025-05-05,1,0,0,3,
2025-05-05,123123134,adjustment,392,PATAN-NOVA-29894-01,PATAN-NOVA-29894-01,Patanjali Triphala Guggul 80 Tabs,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,393,PATAN-NOVA-7427-01,PATAN-NOVA-7427-01,Patanjali Tribhuvan Kirti Ras 80Tabs,-1,0,19,2025-05-05,-1,0,0,7,
2025-05-05,123123134,adjustment,394,PATAN-NOVA-1721-01,PATAN-NOVA-1721-01,Patanjali Laxmi Vilas Ras 80 Tabs,41,0,19,2025-05-05,41,0,0,47,
2025-05-05,123123134,adjustment,395,1047654,1047654,Patanjali Divya Renogrit Tablets 60tabs,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,396,PATAN-NOVA-2630-01,PATAN-NOVA-2630-01,Patanjali Balm 25g,2,0,19,2025-05-05,2,0,0,5,
2025-05-05,123123134,adjustment,397,PATAN-NOVA-16284-01,PATAN-NOVA-16284-01,Patanjali Divya Nari Kanti 60 Tablets,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,expired,398,PATAN-NOVA-420-01,PATAN-NOVA-420-01,Patanjali Pachak Anardana Goli 100g,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,399,PATAN-NOVA-1970-01,PATAN-NOVA-1970-01,Patanjali Giloy Amla Juice 500ml,-1,0,19,2025-05-05,-1,0,0,3,
2025-05-05,123123134,adjustment,400,HCAVPT0027,HCAVPT0027,Patanjali Haritaki Churna,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,401,PATAN-NOVA-1306-01,PATAN-NOVA-1306-01,Patanjali Dant Kanti Natural Tooth Paste 100g,-1,0,19,2025-05-05,-1,0,0,5,
2025-05-05,123123134,adjustment,402,PATAN-NOVA-1620-01,PATAN-NOVA-1620-01,Patanjali Divya Kutajghan Vati 80 Tab,-2,0,19,2025-05-05,-2,0,0,1,
2025-05-05,123123134,adjustment,403,PATAN-NOVA-10814-01,PATAN-NOVA-10814-01,Patanjali Divya Kanthamrit Vati 40Tabs,-6,0,19,2025-05-05,-6,0,0,1,
2025-05-05,123123134,adjustment,404,PATAN-NOVA-1340-01,PATAN-NOVA-1340-01,Patanjali Giloy Ghanvati,-1,0,19,2025-05-05,-1,0,0,5,
2025-05-05,123123134,adjustment,405,PATAN-NOVA-2129-01,PATAN-NOVA-2129-01,Patanjali Godhan Ark or Gomutra Ark 450ml,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,406,PATAN-NOVA-2336-01,PATAN-NOVA-2336-01,Patanjali Praval Panchamrit Ras 5g,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,407,PATAN-NOVA-1766-02,PATAN-NOVA-1766-02,Patanjali Sitopladi Churn 23g,1,0,19,2025-05-05,1,0,0,1,
2025-05-05,123123134,adjustment,408,PATAN-NOVA-2103-01,PATAN-NOVA-2103-01,Patanjali Divya Kaishore Guggul 40 Tablets,-2,0,19,2025-05-05,-2,0,0,1,
2025-05-05,123123134,adjustment,409,AV0054,AV0054,Patanjali Olive Hand Wash 175ml,6,0,19,2025-05-05,6,0,0,6,
2025-05-05,123123134,adjustment,410,1151836,1151836,Patanjali Triyodashang Guggul 40Tabs,11,0,19,2025-05-05,11,0,0,11,
2025-05-05,123123134,expired,411,PATAN-NOVA-1619-01,PATAN-NOVA-1619-01,Patanjali Vrikkdoshhar Vati,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,412,PATAN-NOVA-3402-01,PATAN-NOVA-3402-01,Patanjali Swarn Basant Malti Ras 1g,4,0,19,2025-05-05,4,0,0,4,
