indentdate,indentno,orderDate,ordernumber,lineitem,item_name,SKU,MSKU,qty,sale,purchase_price,total_purchase_cost,belmont_Stock,richmond_Stock,branch,country
2025-01-02,250102,2024-12-30,25522,1,Moon Herbal Kamini Vidrawan Ras with Kesar - 10g / 1 Pack,1032209,1032209,2,88,"₹1,698.00","₹3,396.00",13,0,17,Not Available
2025-01-02,250102,2024-12-30,25522,1,Shri Chyawan  Vidrawan Ras,1137057,1137057,1,37,"₹1,632.00","₹1,632.00",0,0,17,Not Available
2025-01-02,250102,2024-12-30,25519,1,Baidyanath Vansaar Kaminividrawan Ras Kesar Yukta - 10g / Pack of 1,1013839,1013839,1,43,"₹1,479.00","₹1,479.00",1,10,17,Not Available
2025-01-02,250102,2024-12-30,25517,1,Auric Liver Detox Effervescent Tablet Drop Fizz & Drink - 60 Tabs,1140329,1140329,1,44,"₹1,260.00","₹1,260.00",0,0,17,Not Available
2025-01-02,250102,2024-12-30,25503,1,L’Oreal Paris Brow Artist Genius Kit Medium to Dark 5g - 3.5 g,L'OrealParispmc5359,L'OrealParispmc5359,1,40,₹900.00,₹900.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25489,1,Deconstruct Pigmentation Control Serum - 30ml,1055463,1055463,1,18,₹799.00,₹799.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25491,1,Sahasrayogam Brahmi Capsules - 60caps,1047815,1047815,4,43,₹700.00,"₹2,800.00",0,0,17,Not Available
2025-01-02,250102,2024-12-30,25491,1,Isha Life Neem and Turmeric Veg Capsules - Pack of 2,1019227,1019227,4,96,₹580.00,"₹2,320.00",0,0,17,Not Available
2025-01-02,250102,2024-12-29,25489,1,Deconstruct Brightening Serum - 30ml,1055445,1055445,1,16,₹559.00,₹559.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25494,1,Jackfruit365 Green Jackfruit Flour - 800g / 1 Pack,1140463,1140463,1,38,₹532.00,₹532.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25497,1,Jackfruit365 Green Jackfruit Flour - 800g / 1 Pack,1140463,1140463,1,30,₹532.00,₹532.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25507,1,"Chhota Bheem Chutki Plush Toy, - 350gms",plush005,plush005,1,15,₹449.00,₹449.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25510,1,Amway Glister Toothpaste - 190 gm,Amway4271,Amway4271,2,39,₹392.00,₹783.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25501,1,Patanjali Divya Hridyamrit Vati Extra Power - 80 Tab,PATAN-NOVA-2066-02,PATAN-NOVA-2066-02,2,23,₹375.00,₹750.00,1,0,17,Not Available
2025-01-02,250102,2024-12-30,25498,1,Skm Ayurveda Karisalai Karpam Tablets 100 tabs,1001138,1001138,1,8,₹330.00,₹330.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25505,1,Brass Ashtray Ash | Tray 0.17kg,1021041,1021041,10,115,₹297.00,"₹2,970.00",0,0,17,Not Available
2025-01-02,250102,2024-12-30,25512,1,Dr Willmar Schwabe Germany Gnaphalium Pentarkan Ptk. 49 Drop - 20ml,1059759,1059759,2,21,₹295.00,₹590.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25509,1,Hamdard Barshasha - 60g / 1 Pack,1118589,1118589,1,14,₹286.00,₹286.00,5,0,17,Not Available
2025-01-02,250102,2024-12-30,25509,1,Hamdard Barshasha - 60g / 3 Packs,1118590,1118589,3,42,₹286.00,₹858.00,5,0,17,Not Available
2025-01-02,250102,2024-12-30,25509,1,Hamdard Barshasha - 60g / 5 Packs,1118591,1118589,5,69,₹286.00,"₹1,430.00",5,0,17,Not Available
2025-01-02,250102,2024-12-30,25511,1,Hamdard Barshasha - 60g / 5 Packs,1118591,1118589,5,76,₹286.00,"₹1,430.00",5,0,17,Not Available
2025-01-02,250102,2024-12-30,25492,1,Brass Ashtray Ash | Tray 0.11kg,1021038,1021038,2,26,₹270.00,₹540.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25521,1,Floarkart Vigorus Male Capsule 15 Caps,1025324,1025324,1,10,₹269.00,₹269.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25521,1,Floarkart Sensual Male 15Capsule,1025849,1025849,1,13,₹269.00,₹269.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25528,1,Nivea Natural Oats Body Lotion | 200ml Naturally Good Myoc,1000971,1000971,2,29,₹269.00,₹538.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Vampoosa - 250g,1134302,1134302,4,29,₹230.00,₹920.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Chegodi - 250g,1134702,1134702,4,35,₹230.00,₹920.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25523,1,Man Matters 2% Ketoconazole Anti Dandruff Shampoo 100ml - 2 Pack,1139584,1139584,2,30,₹229.00,₹458.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25501,1,Patanjali Mukta Vati 120 Tablets,PATAN-NOVA-473-01,PATAN-NOVA-473-01,1,11,₹223.00,₹223.00,7,10,17,Not Available
2025-01-02,250102,2024-12-30,25502,1,Two Brothers Organic Farms Aai’S Recipe Mukhwas - 100g,1014538,1014538,1,12,₹199.00,₹199.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25527,1,SBL Sedum Acre Mother Tincture Q - 30ml,42229,42229,1,13,₹198.00,₹198.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25518,1,Dr. Reckeweg Cascara Sag Mother Tincture Q,38564,38564,2,19,₹183.00,₹366.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25516,1,Dr. Reckeweg R48 Pulmonary Diseases Drop - 1 Pack ($7.45),38414,38414,1,12,₹177.00,₹177.00,22,14,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Murukulu - 250g,1134704,1134704,4,37,₹155.00,₹620.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Janthikalu - 250g,1134706,1134706,4,37,₹155.00,₹620.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25513,1,Suhagra 100mg Tablet - 80 Tablet,1141071,1141071,5,253,₹150.00,₹750.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25515,1,Fresh Indian Gooseberry - 500g,FFVALL3248,FFVALL3248,1,37,₹150.00,₹150.00,0,-3,17,Not Available
2025-01-02,250102,2024-12-30,25529,1,Fresh Indian Amla|Gooseberry 450g,1139525,FFVALL3248,1,35,₹150.00,₹150.00,0,-3,17,Not Available
2025-01-02,250102,2024-12-29,25490,1,Vellanki Foods Chekkalu - 250g,1134697,1134697,4,37,₹135.00,₹540.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25496,1,Mountainor Advanced Shilajit Power Booster Veg Capsule - 90 capsules,1018983,1018983,1,28,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Aspen - 30ml,1028045,1028045,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Cherry Plum - 30ml,1028053,1028053,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25525,1,New Life Bach Flower Mustard - 30ml,1028082,1028082,1,6,₹135.00,₹135.00,0,0,17,Not Available
2025-01-02,250102,2024-12-29,25488,1,Daflon Tablet - 500 Mg / 60 tablets,1126110,1031476,6,35,₹133.00,₹797.00,85,8,17,Not Available
2025-01-02,250102,2024-12-30,25524,1,SBL Thlaspi Bursa Pastoris Mother Tincture Q - 30ml,42107,42107,1,12,₹132.00,₹132.00,16,5,17,Not Available
2025-01-02,250102,2024-12-30,25518,1,Bakson’s Laxat Aid Tablets - 75 Tablets,1036778,1036778,1,10,₹130.00,₹130.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25518,1,Kayam Tablet 30 tablets,22990,22990,2,13,₹115.00,₹230.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25526,1,Vicco Vajradanti Tooth Powder 100g,1014455,1014455,2,17,₹110.00,₹220.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25499,1,Hamdard Khamira Marwareed - 75g,Hamdard4524,Hamdard4524,9,67,₹95.00,₹851.00,4,0,17,Not Available
2025-01-02,250102,2024-12-30,25504,1,Bakson’s Nasal Aid Spray 10ml,bakson12,bakson12,5,36,₹88.00,₹441.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25500,1,Long Drive 30mg Tablet,1140451,1140451,4,35,₹85.00,₹340.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25493,1,SBL Hydrangea Arborescens Dilution 6 CH,44889,44889,2,29,₹60.00,₹120.00,0,0,17,Not Available
2025-01-02,250102,2024-12-30,25520,1,SBL Ammonium Causticum Dilution 30 CH,43075,43075,1,10,₹60.00,₹60.00,9,6,17,Not Available
